('G1', 'n11', 'n21', '1.0')
('G2', 'n21', 'n31', '1.0')
('G3', 'n31', 'n41', '1.0')
('G4', 'n33', 'n43', '1.0')
('G5', 'n33', 'n34', '1.0')
('G6', 'n34', 'n35', '1.0')
('G7', 'n34', 'n45', '0.7071067811865475')
('G8', 'n35', 'n45', '1.0')
('G9', 'n37', 'n47', '1.0')
('G10', 'n37', 'n38', '1.0')
('G11', 'n38', 'n39', '1.0')
('G12', 'n38', 'n49', '0.7071067811865475')
('G13', 'n39', 'n49', '1.0')
('G14', 'n41', 'n51', '1.0')
('G15', 'n41', 'n52', '0.7071067811865475')
('G16', 'n43', 'n53', '1.0')
('G17', 'n43', 'n34', '0.7071067811865475')
('G18', 'n45', 'n55', '1.0')
('G19', 'n47', 'n57', '1.0')
('G20', 'n47', 'n38', '0.7071067811865475')
('G21', 'n49', 'n59', '1.0')
('G22', 'n51', 'n52', '1.0')
('G23', 'n52', 'n53', '1.0')
('G24', 'n52', 'n43', '0.7071067811865475')
('G25', 'n55', 'n65', '1.0')
('G26', 'n57', 'n67', '1.0')
('G27', 'n59', 'n69', '1.0')
('G28', 'n65', 'n75', '1.0')
('G29', 'n67', 'n77', '1.0')
('G30', 'n69', 'n79', '1.0')
('G31', 'n75', 'n85', '1.0')
('G32', 'n77', 'n87', '1.0')
('G33', 'n79', 'n89', '1.0')
('G34', 'n85', 'n95', '1.0')
('G35', 'n85', 'n96', '0.7071067811865475')
('G36', 'n87', 'n97', '1.0')
('G37', 'n89', 'gnd', '1.0')
('G38', 'n95', 'n96', '1.0')
('G39', 'n96', 'n97', '1.0')
('G40', 'n96', 'n87', '0.7071067811865475')
('Vi', 'n11', 'gnd', 10)
